SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G26,2024-05-06 18:25:26.417843+00:00,-4218570.725902891,25853358.719271835,2799152.742509759,22560102.553142972,47.0,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
G28,2024-05-06 18:25:26.417843+00:00,-7109390.174071806,13600902.525935216,21664980.717829984,22328657.0060233,46.6,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
G31,2024-05-06 18:25:26.417843+00:00,2841362.9554952597,19087399.298566766,17861588.80901985,19855710.492393155,46.5,4582619.608629933,2897906.7252826816,3148299.3205820834,30.31178843622458,32.307993031235,-102951.11375626363
G02,2024-05-06 18:25:27.417843+00:00,22724315.702938132,13967521.683623143,1970784.6509845867,19085925.146225307,48.1,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
G03,2024-05-06 18:25:27.417843+00:00,12836151.348235909,9040051.522535183,21293220.044727936,18959324.069958992,40.4,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
G04,2024-05-06 18:25:27.417843+00:00,21688719.590552676,3636087.6298097894,15008373.218338897,19110988.374467075,38.3,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
G06,2024-05-06 18:25:27.417843+00:00,4828977.375116891,-14574927.066309828,21716834.91596751,23360184.870664082,48.2,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
G09,2024-05-06 18:25:27.417843+00:00,25255622.864297703,-7258283.882551979,3976470.449265179,20817101.628066216,47.8,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
G16,2024-05-06 18:25:27.417843+00:00,1679271.575752642,24097950.5919305,-10846250.04188319,23805429.46577365,33.2,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
G17,2024-05-06 18:25:27.417843+00:00,21172336.092715442,-13390145.795684816,9479962.76892645,22480235.872497436,47.1,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
G19,2024-05-06 18:25:27.417843+00:00,13842391.45014415,-15266026.566351049,16353627.025562342,22107089.93252691,47.8,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
G21,2024-05-06 18:25:27.417843+00:00,20941488.157393854,16836098.57240065,-3160852.125047812,20225367.526094727,47.5,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
G26,2024-05-06 18:25:27.417843+00:00,-4218941.7444955055,25852947.841297694,2802258.735654604,22559761.984332494,48.3,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
G28,2024-05-06 18:25:27.417843+00:00,-7111594.1957649365,13599251.405211546,21665293.345473163,22329188.229505304,47.7,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
G31,2024-05-06 18:25:27.417843+00:00,2839466.238606427,19086035.586171184,17863365.774078798,19856003.6909857,47.7,4582615.444852624,2897877.1239330415,3148277.6755275163,30.311706601625144,32.30775216831791,-102978.7343269512
