SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G28,2024-04-13 16:52:30.418698+00:00,5188028.799854327,25786183.26033143,-3716553.963020143,23794966.517745283,28.8,4436907.386660724,3085275.4277241863,3376344.6809656653,32.168945391943325,34.813445985973146,76.101566510275
G32,2024-04-13 16:52:30.418698+00:00,7981434.40479753,17918700.36264194,18209541.42867558,21274722.480661344,37.9,4436907.386660724,3085275.4277241863,3376344.6809656653,32.168945391943325,34.813445985973146,76.101566510275
G02,2024-04-13 16:52:31.418698+00:00,14597129.326738024,-5093804.558988905,22060417.073332384,22786348.66459146,37.1,4436898.494511641,3085284.838434501,3376331.42338002,32.168853447232884,34.81358172436202,67.41103546321392
G03,2024-04-13 16:52:31.418698+00:00,23169443.831264492,-12096633.137288598,4185942.6801534016,24125701.52983417,37.2,4436898.494511641,3085284.838434501,3376331.42338002,32.168853447232884,34.81358172436202,67.41103546321392
G08,2024-04-13 16:52:31.418698+00:00,24955001.12096046,4731202.773257671,8369423.3820277,21180837.556055207,40.2,4436898.494511641,3085284.838434501,3376331.42338002,32.168853447232884,34.81358172436202,67.41103546321392
G10,2024-04-13 16:52:31.418698+00:00,-1448159.5933731599,17221156.22930552,20280055.952200927,22807627.531488024,41.4,4436898.494511641,3085284.838434501,3376331.42338002,32.168853447232884,34.81358172436202,67.41103546321392
G21,2024-04-13 16:52:31.418698+00:00,15722906.108273612,1681021.10924653,21891295.261542708,21728912.07905216,39.9,4436898.494511641,3085284.838434501,3376331.42338002,32.168853447232884,34.81358172436202,67.41103546321392
G27,2024-04-13 16:52:31.418698+00:00,23130220.963607408,13297670.504236085,-2765047.693159656,22168560.526656758,33.9,4436898.494511641,3085284.838434501,3376331.42338002,32.168853447232884,34.81358172436202,67.41103546321392
G28,2024-04-13 16:52:31.418698+00:00,5187801.8885232285,25786678.279246874,-3713423.41267625,23794467.646387566,31.2,4436898.494511641,3085284.838434501,3376331.42338002,32.168853447232884,34.81358172436202,67.41103546321392
G32,2024-04-13 16:52:31.418698+00:00,7979333.775853273,17917848.768564284,18211300.74397628,21275001.893411465,40.7,4436898.494511641,3085284.838434501,3376331.42338002,32.168853447232884,34.81358172436202,67.41103546321392
G02,2024-04-13 16:52:32.418698+00:00,14597568.939839924,-5091153.999680141,22060772.492842074,22785882.50141747,41.1,4436886.601947621,3085274.074785979,3376318.2760990276,32.16882947108838,34.81356001595777,46.94450332224369
G03,2024-04-13 16:52:32.418698+00:00,23169105.550590813,-12096147.13672382,4189117.9348688694,24125220.957211044,42.0,4436886.601947621,3085274.074785979,3376318.2760990276,32.16882947108838,34.81356001595777,46.94450332224369
G08,2024-04-13 16:52:32.418698+00:00,24955870.53433829,4731868.627422792,8366533.837216986,21181043.196373872,39.6,4436886.601947621,3085274.074785979,3376318.2760990276,32.16882947108838,34.81356001595777,46.94450332224369
G10,2024-04-13 16:52:32.418698+00:00,-1450317.0284071164,17222485.982901327,20278728.2926573,22808016.94925197,41.4,4436886.601947621,3085274.074785979,3376318.2760990276,32.16882947108838,34.81356001595777,46.94450332224369
G21,2024-04-13 16:52:32.418698+00:00,15723332.04182637,1683648.8128869599,21890876.147231966,21728596.9974435,43.0,4436886.601947621,3085274.074785979,3376318.2760990276,32.16882947108838,34.81356001595777,46.94450332224369
G27,2024-04-13 16:52:32.418698+00:00,23129837.28625063,13297747.50348073,-2768173.7162887054,22169133.416623503,34.7,4436886.601947621,3085274.074785979,3376318.2760990276,32.16882947108838,34.81356001595777,46.94450332224369
G28,2024-04-13 16:52:32.418698+00:00,5187574.966632734,25787172.9199716,-3710292.783507704,23793984.096321028,31.9,4436886.601947621,3085274.074785979,3376318.2760990276,32.16882947108838,34.81356001595777,46.94450332224369
G32,2024-04-13 16:52:32.418698+00:00,7977232.899313463,17916997.20370742,18213059.680636857,21275285.494213838,40.6,4436886.601947621,3085274.074785979,3376318.2760990276,32.16882947108838,34.81356001595777,46.94450332224369
G02,2024-04-13 16:52:33.418698+00:00,14598008.719563013,-5088503.42773444,22061127.46255538,22785410.614572056,38.2,4436904.181289278,3085272.5374934073,3376320.859062234,32.168784105796824,34.8134402294636,59.79400177486241
G03,2024-04-13 16:52:33.418698+00:00,23168766.96605221,-12095660.89115301,4192293.0994308377,24124749.982207682,45.2,4436904.181289278,3085272.5374934073,3376320.859062234,32.168784105796824,34.8134402294636,59.79400177486241
G08,2024-04-13 16:52:33.418698+00:00,24956739.65740863,4732534.281361312,8363644.117964583,21181244.68354071,41.4,4436904.181289278,3085272.5374934073,3376320.859062234,32.168784105796824,34.8134402294636,59.79400177486241
G10,2024-04-13 16:52:33.418698+00:00,-1452474.2464722423,17223815.779746413,20277400.205916207,22808432.472541656,37.0,4436904.181289278,3085272.5374934073,3376320.859062234,32.168784105796824,34.8134402294636,59.79400177486241
G21,2024-04-13 16:52:33.418698+00:00,15723758.12401828,1686276.429121215,21890456.589889083,21728299.889559105,37.5,4436904.181289278,3085272.5374934073,3376320.859062234,32.168784105796824,34.8134402294636,59.79400177486241
G27,2024-04-13 16:52:33.418698+00:00,23129453.265345115,13297824.35473711,-2771299.682168966,22169711.71615775,34.1,4436904.181289278,3085272.5374934073,3376320.859062234,32.168784105796824,34.8134402294636,59.79400177486241
G28,2024-04-13 16:52:33.418698+00:00,5187348.034137806,25787667.18248414,-3707162.0756773227,23793525.081260633,34.8,4436904.181289278,3085272.5374934073,3376320.859062234,32.168784105796824,34.8134402294636,59.79400177486241
G32,2024-04-13 16:52:33.418698+00:00,7975131.775128948,17916145.66808571,18214818.238692857,21275560.998115182,43.3,4436904.181289278,3085272.5374934073,3376320.859062234,32.168784105796824,34.8134402294636,59.79400177486241
G02,2024-04-13 16:52:34.418698+00:00,14598448.665876046,-5085852.843381293,22061481.98244444,22784951.640887767,38.2,4436891.357861056,3085269.8874568143,3376316.7777783563,32.16881076407595,34.81349478032369,47.42843071650714
G03,2024-04-13 16:52:34.418698+00:00,23168428.077678002,-12095174.400524184,4195468.173872184,24124279.04210475,44.6,4436891.357861056,3085269.8874568143,3376316.7777783563,32.16881076407595,34.81349478032369,47.42843071650714
G08,2024-04-13 16:52:34.418698+00:00,24957608.4900774,4733199.735065128,8360754.224506811,21181460.235583045,43.2,4436891.357861056,3085269.8874568143,3376316.7777783563,32.16881076407595,34.81349478032369,47.42843071650714
G10,2024-04-13 16:52:34.418698+00:00,-1454631.248002789,17225145.620079592,20276071.691711623,22808808.104633592,36.2,4436891.357861056,3085269.8874568143,3376316.7777783563,32.16881076407595,34.81349478032369,47.42843071650714
